accuracy,loss,val_accuracy,val_loss
0.8812556862831116,0.29867467284202576,0.9209774136543274,0.1935979425907135
0.9233068823814392,0.19654428958892822,0.9285157322883606,0.17245253920555115
0.9285714030265808,0.17728176712989807,0.9342344403266907,0.1632777899503708
0.9331210255622864,0.16578610241413116,0.9365739822387695,0.15823407471179962
0.9380605816841125,0.15765078365802765,0.937353789806366,0.15455590188503265
0.9379955530166626,0.15160571038722992,0.9381335973739624,0.1530381739139557
0.9374106526374817,0.1481238454580307,0.9417728185653687,0.1475074291229248
0.9386455416679382,0.14541320502758026,0.9425526261329651,0.1446654349565506
0.9406603574752808,0.14210304617881775,0.9394333362579346,0.14754098653793335
0.9415702819824219,0.137861430644989,0.9433324933052063,0.14040619134902954
0.942415177822113,0.13471192121505737,0.9464517831802368,0.14054161310195923
0.9418952465057373,0.13330203294754028,0.943072497844696,0.13744649291038513
0.9460548758506775,0.1323232799768448,0.9415128827095032,0.13597320020198822
0.944754958152771,0.128667414188385,0.9422926902770996,0.13741734623908997
0.9453399181365967,0.13083390891551971,0.9469716548919678,0.13532572984695435
0.9460548758506775,0.12689150869846344,0.9441123008728027,0.13555695116519928
0.9454699158668518,0.12637434899806976,0.9467117190361023,0.13735510408878326
0.94806969165802,0.12287133187055588,0.9487912654876709,0.13144470751285553
0.9472247362136841,0.1251487284898758,0.9482713937759399,0.1292353719472885
0.9474847316741943,0.12250638753175735,0.9487912654876709,0.13222908973693848
0.9487196207046509,0.12167443335056305,0.9482713937759399,0.1312754601240158
0.9486545920372009,0.12029707431793213,0.9482713937759399,0.13269677758216858
0.9494345784187317,0.12147244811058044,0.9490512013435364,0.13096463680267334
0.9481346607208252,0.11797232925891876,0.9498310089111328,0.12847906351089478
0.950409471988678,0.1173061728477478,0.9482713937759399,0.12732724845409393
0.9487196207046509,0.1180163249373436,0.951130747795105,0.13430629670619965
0.948784589767456,0.11713380366563797,0.9464517831802368,0.12754982709884644
0.9478096961975098,0.11866875737905502,0.9519105553627014,0.12799394130706787
0.9517743587493896,0.11465822160243988,0.9498310089111328,0.12886680662631989
0.9500194787979126,0.11835905909538269,0.9519105553627014,0.1254078894853592
0.9517743587493896,0.11399395018815994,0.9498310089111328,0.1287832111120224
0.9517743587493896,0.11577173322439194,0.9495710730552673,0.1265455037355423
0.9528142213821411,0.11445990949869156,0.9480114579200745,0.12710615992546082
0.9512543678283691,0.11622634530067444,0.9503509402275085,0.1259908825159073
0.9505394697189331,0.11643098294734955,0.9493111371994019,0.1256914585828781
0.9523592591285706,0.1129533052444458,0.950610876083374,0.12600117921829224
0.9507344365119934,0.11398886144161224,0.9516506195068359,0.12349020689725876
0.9531392455101013,0.11223924905061722,0.9495710730552673,0.12582501769065857
0.9517093300819397,0.11395756900310516,0.9521705508232117,0.12451720237731934
0.9524242877960205,0.1119198277592659,0.9521705508232117,0.126450315117836
0.9524242877960205,0.11005289852619171,0.9516506195068359,0.12349118292331696
0.9517093300819397,0.1128678172826767,0.9545100331306458,0.12134385108947754
0.9517093300819397,0.111886166036129,0.9526904225349426,0.12150759994983673
0.9551540613174438,0.11035944521427155,0.9524304866790771,0.12241523712873459
0.95196932554245,0.11014804244041443,0.9526904225349426,0.12378110736608505
0.9533342123031616,0.11129029840230942,0.951130747795105,0.12406443804502487
0.9509944319725037,0.10968567430973053,0.9537301659584045,0.12561164796352386
0.9530092477798462,0.1086304560303688,0.9521705508232117,0.12072760611772537
0.954439103603363,0.10939227044582367,0.9513906836509705,0.12171725928783417
0.9532042145729065,0.11040490865707397,0.9490512013435364,0.12337439507246017
